"ID","NAME","PRODUCTDESC","STATUS"
"01t0S00000048HrQAI","BPER10","Basic","Item Created"
"01t0S00000048HsQAI","DPER10","Deluxe","Item Created"
"01t0S00000048HtQAI","EASY-EXT","EASY EXTENSION","Item Created"
"01t0S00000048HuQAI","FPER10","Freedom Edition aka FFA","Item Created"
"01t0S00000048HvQAI","HPER10","Home and Biz","Item Created"
"01t0S00000048HwQAI","IHBCD","iPad Home & Business","Item Created"
"01t0S00000048HxQAI","IMPCD","iPad Deluxe","Item Created"
"01t0S00000048HyQAI","IPLTD","iPad Premier","Item Created"
"01t0S00000048HzQAI","LPER10","Federal Free Edition","Item Created"
"01t0S00000048I0QAI","MHBCD","Mac Home&Business Direct","Item Created"
"01t0S00000048I1QAI","MHBCR","Mac Home&Business Retail","Item Created"
"01t0S00000048I2QAI","MHBCWR","Mac Home&Business Walmart","Item Created"
"01t0S00000048I3QAI","MMPCD","Mac Deluxe Direct","Item Created"
"01t0S00000048I4QAI","MMPCR","Mac Deluxe Retail","Item Created"
"01t0S00000048I5QAI","MMPCWR","Mac Deluxe Walmart","Item Created"
"01t0S00000048I6QAI","MPER08","MAC TurboTax Basic Direct","Item Created"
"01t0S00000048I7QAI","MPERD","MAC TurboTax Basic Direct","Item Created"
"01t0S00000048I8QAI","MPERR","Mac Basic Retail","Item Created"
"01t0S00000048I9QAI","MPERWR","Mac Basic Walmart","Item Created"
"01t0S00000048IAQAY","MPLTD","Mac Premier Direct","Item Created"
"01t0S00000048IBQAY","MPLTR","Mac Premier Retail","Item Created"
"01t0S00000048ICQAY","MPLTWR","Mac Premier Walmart","Item Created"
"01t0S00000048IDQAY","PPER10","Premier","Item Created"
"01t0S00000048IEQAY","SnapTax Andriod","SnapTax iPhone V1 TY2009","Item Created"
"01t0S00000048IFQAY","SnapTax-Android","SnapTax Andriod","Item Created"
"01t0S00000048IGQAY","SnapTax-iPhone","SnapTax iPhone","Item Created"
"01t0S00000048IHQAY","TTOE","Launchpad","Item Created"
"01t0S00000048IIQAY","WBPMD","Windows TurboTax Small Business Direct","Item Created"
"01t0S00000048IJQAY","WBPMR","Windows TurboTax Small Business Retail","Item Created"
"01t0S00000048IKQAY","WEZSR","Windows Easy Start Retail","Item Created"
"01t0S00000048ILQAY","WHBCD","Windows TurboTax Home & Business Direct","Item Created"
"01t0S00000048IMQAY","WHBCR","Windows TurboTax Home & Business Retail","Item Created"
"01t0S00000048INQAY","WHBCWR","Windows TT H&B Walmart","Item Created"
"01t0S00000048IOQAY","WMPCD","Windows TurboTax Deluxe Direct","Item Created"
"01t0S00000048IPQAY","WMPCR","Windows TurboTax Deluxe Retail","Item Created"
"01t0S00000048IQQAY","WMPCWR","Windows TT Deluxe Walmart","Item Created"
"01t0S00000048IRQAY","WPER32","Windows TurboTax Basic Direct - 32 bit","Item Created"
"01t0S00000048ISQAY","WPERD","Windows TurboTax Basic Direct","Item Created"
"01t0S00000048ITQAY","WPERR","Windows TurboTax Basic Retail","Item Created"
"01t0S00000048IUQAY","WPERWR","Windows TT Basic Walmart","Item Created"
"01t0S00000048IVQAY","WPLTD","Windows TurboTax Premier Direct","Item Created"
"01t0S00000048IWQAY","WPLTR","Windows TurboTax Premier Retail","Item Created"
"01t0S00000048IXQAY","WPLTWR","Windows TT Premier Walmart","Item Created"
"01t0S00000048IYQAY","WPR032","ProSeries","Item Created"
