"ID","NAME","PRODUCTDESC","STATUS"
"01t0S00000049gjQAA","BPER10","Basic","Item Created"
"01t0S00000049gkQAA","DPER10","Deluxe","Item Created"
"01t0S00000049glQAA","EASY-EXT","EASY EXTENSION","Item Created"
"01t0S00000049gmQAA","FPER10","Freedom Edition aka FFA","Item Created"
"01t0S00000049gnQAA","HPER10","Home and Biz","Item Created"
"01t0S00000049goQAA","IHBCD","iPad Home & Business","Item Created"
"01t0S00000049gpQAA","IMPCD","iPad Deluxe","Item Created"
"01t0S00000049gqQAA","IPLTD","iPad Premier","Item Created"
"01t0S00000049grQAA","LPER10","Federal Free Edition","Item Created"
"01t0S00000049gsQAA","MHBCD","Mac Home&Business Direct","Item Created"
"01t0S00000049gtQAA","MHBCR","Mac Home&Business Retail","Item Created"
"01t0S00000049guQAA","MHBCWR","Mac Home&Business Walmart","Item Created"
"01t0S00000049gvQAA","MMPCD","Mac Deluxe Direct","Item Created"
"01t0S00000049gwQAA","MMPCR","Mac Deluxe Retail","Item Created"
"01t0S00000049gxQAA","MMPCWR","Mac Deluxe Walmart","Item Created"
"01t0S00000049gyQAA","MPER08","MAC TurboTax Basic Direct","Item Created"
"01t0S00000049gzQAA","MPERD","MAC TurboTax Basic Direct","Item Created"
"01t0S00000049h0QAA","MPERR","Mac Basic Retail","Item Created"
"01t0S00000049h1QAA","MPERWR","Mac Basic Walmart","Item Created"
"01t0S00000049h2QAA","MPLTD","Mac Premier Direct","Item Created"
"01t0S00000049h3QAA","MPLTR","Mac Premier Retail","Item Created"
"01t0S00000049h4QAA","MPLTWR","Mac Premier Walmart","Item Created"
"01t0S00000049h5QAA","PPER10","Premier","Item Created"
"01t0S00000049h6QAA","SnapTax Andriod","SnapTax iPhone V1 TY2009","Item Created"
"01t0S00000049h7QAA","SnapTax-Android","SnapTax Andriod","Item Created"
"01t0S00000049h8QAA","SnapTax-iPhone","SnapTax iPhone","Item Created"
"01t0S00000049h9QAA","TTOE","Launchpad","Item Created"
"01t0S00000049hAQAQ","WBPMD","Windows TurboTax Small Business Direct","Item Created"
"01t0S00000049hBQAQ","WBPMR","Windows TurboTax Small Business Retail","Item Created"
"01t0S00000049hCQAQ","WEZSR","Windows Easy Start Retail","Item Created"
"01t0S00000049hDQAQ","WHBCD","Windows TurboTax Home & Business Direct","Item Created"
"01t0S00000049hEQAQ","WHBCR","Windows TurboTax Home & Business Retail","Item Created"
"01t0S00000049hFQAQ","WHBCWR","Windows TT H&B Walmart","Item Created"
"01t0S00000049hGQAQ","WMPCD","Windows TurboTax Deluxe Direct","Item Created"
"01t0S00000049hHQAQ","WMPCR","Windows TurboTax Deluxe Retail","Item Created"
"01t0S00000049hIQAQ","WMPCWR","Windows TT Deluxe Walmart","Item Created"
"01t0S00000049hJQAQ","WPER32","Windows TurboTax Basic Direct - 32 bit","Item Created"
"01t0S00000049hKQAQ","WPERD","Windows TurboTax Basic Direct","Item Created"
"01t0S00000049hLQAQ","WPERR","Windows TurboTax Basic Retail","Item Created"
"01t0S00000049hMQAQ","WPERWR","Windows TT Basic Walmart","Item Created"
"01t0S00000049hNQAQ","WPLTD","Windows TurboTax Premier Direct","Item Created"
"01t0S00000049hOQAQ","WPLTR","Windows TurboTax Premier Retail","Item Created"
"01t0S00000049hPQAQ","WPLTWR","Windows TT Premier Walmart","Item Created"
"01t0S00000049hQQAQ","WPR032","ProSeries","Item Created"
