"ID","NAME","PRODUCTDESC","STATUS"
"01t0j0000004yxOAAQ","BPER10","Basic","Item Created"
"01t0j0000004yxPAAQ","DPER10","Deluxe","Item Created"
"01t0j0000004yxQAAQ","EASY-EXT","EASY EXTENSION","Item Created"
"01t0j0000004yxRAAQ","FPER10","Freedom Edition aka FFA","Item Created"
"01t0j0000004yxSAAQ","HPER10","Home and Biz","Item Created"
"01t0j0000004yxTAAQ","IHBCD","iPad Home & Business","Item Created"
"01t0j0000004yxUAAQ","IMPCD","iPad Deluxe","Item Created"
"01t0j0000004yxVAAQ","IPLTD","iPad Premier","Item Created"
"01t0j0000004yxWAAQ","LPER10","Federal Free Edition","Item Created"
"01t0j0000004yxXAAQ","MHBCD","Mac Home&Business Direct","Item Created"
"01t0j0000004yxYAAQ","MHBCR","Mac Home&Business Retail","Item Created"
"01t0j0000004yxZAAQ","MHBCWR","Mac Home&Business Walmart","Item Created"
"01t0j0000004yxaAAA","MMPCD","Mac Deluxe Direct","Item Created"
"01t0j0000004yxbAAA","MMPCR","Mac Deluxe Retail","Item Created"
"01t0j0000004yxcAAA","MMPCWR","Mac Deluxe Walmart","Item Created"
"01t0j0000004yxdAAA","MPER08","MAC TurboTax Basic Direct","Item Created"
"01t0j0000004yxeAAA","MPERD","MAC TurboTax Basic Direct","Item Created"
"01t0j0000004yxfAAA","MPERR","Mac Basic Retail","Item Created"
"01t0j0000004yxgAAA","MPERWR","Mac Basic Walmart","Item Created"
"01t0j0000004yxhAAA","MPLTD","Mac Premier Direct","Item Created"
"01t0j0000004yxiAAA","MPLTR","Mac Premier Retail","Item Created"
"01t0j0000004yxjAAA","MPLTWR","Mac Premier Walmart","Item Created"
"01t0j0000004yxkAAA","PPER10","Premier","Item Created"
"01t0j0000004yxlAAA","SnapTax Andriod","SnapTax iPhone V1 TY2009","Item Created"
"01t0j0000004yxmAAA","SnapTax-Android","SnapTax Andriod","Item Created"
"01t0j0000004yxnAAA","SnapTax-iPhone","SnapTax iPhone","Item Created"
"01t0j0000004yxoAAA","TTOE","Launchpad","Item Created"
"01t0j0000004yxpAAA","WBPMD","Windows TurboTax Small Business Direct","Item Created"
"01t0j0000004yxqAAA","WBPMR","Windows TurboTax Small Business Retail","Item Created"
"01t0j0000004yxrAAA","WEZSR","Windows Easy Start Retail","Item Created"
"01t0j0000004yxsAAA","WHBCD","Windows TurboTax Home & Business Direct","Item Created"
"01t0j0000004yxtAAA","WHBCR","Windows TurboTax Home & Business Retail","Item Created"
"01t0j0000004yxuAAA","WHBCWR","Windows TT H&B Walmart","Item Created"
"01t0j0000004yxvAAA","WMPCD","Windows TurboTax Deluxe Direct","Item Created"
"01t0j0000004yxwAAA","WMPCR","Windows TurboTax Deluxe Retail","Item Created"
"01t0j0000004yxxAAA","WMPCWR","Windows TT Deluxe Walmart","Item Created"
"01t0j0000004yxyAAA","WPER32","Windows TurboTax Basic Direct - 32 bit","Item Created"
"01t0j0000004yxzAAA","WPERD","Windows TurboTax Basic Direct","Item Created"
"01t0j0000004yy0AAA","WPERR","Windows TurboTax Basic Retail","Item Created"
"01t0j0000004yy1AAA","WPERWR","Windows TT Basic Walmart","Item Created"
"01t0j0000004yy2AAA","WPLTD","Windows TurboTax Premier Direct","Item Created"
"01t0j0000004yy3AAA","WPLTR","Windows TurboTax Premier Retail","Item Created"
"01t0j0000004yy4AAA","WPLTWR","Windows TT Premier Walmart","Item Created"
"01t0j0000004yy5AAA","WPR032","ProSeries","Item Created"
